Set base,set-base
Jungle,jungle
Fossil,fossil
Team Rocket,team-rocket
Neo Genesis,neo-genesis
Neo Discovery,neo-discovery
Neo Revelation,neo-revelation
Neo Destiny,neo-destiny
Expedition Set Base,expedition-set-base
Aquapolis,aquapolis
Skyridge,skyridge
EX Rubino e Zaffiro,ex-rubino-e-zaffiro
EX Tempesta di sabbia,ex-tempesta-di-sabbia
EX Drago,ex-drago
EX Team Magma vs Team Idro,ex-team-magma-vs-team-idro
EX Leggende Nascoste,ex-leggende-nascoste
EX RossoFuoco e VerdeFoglia,ex-rossofuoco-e-verdefoglia
EX Deoxys,ex-deoxys
EX Smeraldo,ex-smeraldo
EX Forze Segrete,ex-forze-segrete
EX Specie Delta,ex-specie-delta
EX La Leggenda di Mew,ex-la-leggenda-di-mew
EX Fantasmi di Holon,ex-fantasmi-di-holon
EX Guardiani dei Cristalli,ex-guardiani-dei-cristalli
EX L'isola dei Draghi,ex-isola-dei-draghi
Diamante e Perla,diamante-e-perla
Tesori Misteriosi,tesori-misteriosi
Prodigi Segreti,prodigi-segreti
Incontri leggendari,incontri-leggendari
Alba Suprema,alba-suprema
Il Risveglio dei Miti,il-risveglio-dei-miti
Fronte di tempesta,fronte-di-tempesta
Serie 1,serie-1
Serie 2,serie-2
Serie 3,serie-3
Serie 4,serie-4
Serie 5,serie-5
Serie 6,serie-6
Serie 7,serie-7
Serie 8,serie-8
Serie 9,serie-9
Platino,platino
L'ascesa dei Rivali,lascesa-dei-rivali
Arceus,arceus
HeartGold & SoulSilver,heartgold-soulsilver
Forze scatenate,forze-scatenate
Senza Paura,senza-paura
Battaglie trionfali,battaglie-trionfali
Richiamo delle Leggende,richiamo-delle-leggende
Nero e Bianco,nero-e-bianco
Nuove Forze,nuove-forze
Vittorie Regali,vittorie-regali
Destini Futuri,destini-futuri
Esploratori delle Tenebre,esploratori-delle-tenebre
Stirpe dei Draghi,stirpe-dei-draghi
Tesoro dei Draghi,tesoro-dei-draghi
Confini Varcati,confini-varcati
Uragano Plasma,uragano-plasma
Glaciazione Plasma,glaciazione-plasma
Esplosione Plasma,esplosione-plasma
XY,xy
XY - Benvenuti a Kalos,xy-benvenuti-a-kalos
Fuoco Infernale,fuoco-infernale
Colpi Furiosi,colpi-furiosi
Forze Spettrali,forze-spettrali
Scontro Primordiale,scontro-primordiale
Furie Volanti,furie-volanti
Antiche origini,antiche-origini
Turboblitz,turboblitz
Turbocrash,turbocrash
Generazioni,generazioni
Destini Incrociati,destini-incrociati
Vapori Accesi,vapori-accesi
Evoluzioni,evoluzioni
Sole e Luna,sole-e-luna
Guardiani Nascenti,guardiani-nascenti
Ombre Infuocate,ombre-infuocate
Leggende Iridescenti,leggende-iridescenti
Invasione Scarlatta,invasione-scarlatta
Ultraprisma,ultraprisma
Apocalisse di Luce,apocalisse-di-luce
Tempesta Astrale,tempesta-astrale
Trionfo dei Draghi,trionfo-dei-draghi
Tuoni Perduti,tuoni-perduti
Gioco di Squadra,gioco-di-squadra
Detective Pikachu,detective-pikachu
Legami Inossidabili,legami-inossidabili
Sintonia Mentale,sintonia-mentale
Destino Sfuggente,destino-sfuggente
Eclissi Cosmica,eclissi-cosmica
Spada e Scudo,spada-e-scudo
Fragore Ribelle,fragore-ribelle
Fiamme Oscure,fiamme-oscure
Futuri Campioni,futuri-campioni
Voltaggio Sfolgorante,voltaggio-sfolgorante
Destino Splendente,destino-splendente
Stili di Lotta,stili-di-lotta
Regno Glaciale,regno-glaciale
Evoluzioni Eteree,evoluzioni-eteree
Gran Festa,gran-festa
Colpo Fusione,colpo-fusione
Astri Lucenti,astri-lucenti
Lucentezza Siderale,lucentezza-siderale
Pokémon Go,pokemon-go
Origine Perduta,origine-perduta
Tempesta Argentata,tempesta-argentata
Zenit Regale,zenit-regale
Scarlatto e Violetto,scarlatto-e-violetto
Evoluzioni a Paldea,evoluzioni-a-paldea
Ossidiana Infuocata,ossidiana-infuocata
151,151
Paradosso Temporale,paradosso-temporale
Destino di Paldea,destino-di-paldea
Cronoforze,cronoforze
Crepuscolo Mascherato,crepuscolo-mascherato
Segreto Fiabesco,segreto-fiabesco
Corona Astrale,corona-astrale
Scintille Folgoranti,scintille-folgoranti
Evoluzioni Prismatiche,evoluzioni-prismatiche
Avventure Insieme,avventure-insieme
